Indice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
2,Antioquia,2017,12,25,Choque,Sin causa especifica,Lluvia,lunes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
4,Antioquia,2017,9,26,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,999,0,1,No
5,Antioquia,2017,2,10,Atropello,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,999,0,2,No
6,Antioquia,2017,12,27,Choque,Sin causa especifica,Normal,miercoles,Recta,Plano,Terraplen,999,1,0,No
7,Antioquia,2017,5,18,Atropello,Sin causa especifica,Normal,jueves,Recta,Plano,Media ladera Izquierda,999,0,1,No
9,Antioquia,2016,12,23,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,999,0,1,No
11,Antioquia,2016,12,25,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,999,0,0,No
12,Antioquia,2017,12,15,Choque,Sin causa especifica,Normal,viernes,Recta,Ondulado,Media ladera Izquierda,999,1,12,No
15,Antioquia,2018,2,24,Choque,Sin causa especifica,Lluvia,sabado,Curva Derecha,Montañoso,Media Ladera Derecha,999,0,0,No
16,Antioquia,2018,1,10,Choque,Sin causa especifica,Lluvia,miercoles,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,3,No
17,Antioquia,2018,1,8,Choque,Sin causa especifica,Lluvia,lunes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,1,Si
19,Antioquia,2017,12,29,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
20,Antioquia,2018,1,3,Choque,Sin causa especifica,Lluvia,miercoles,Recta,Ondulado,Terraplen,999,0,1,No
21,Antioquia,2017,12,3,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Ondulado,Terraplen,999,0,0,No
23,Antioquia,2018,1,7,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Terraplen,999,0,0,Si
24,Antioquia,2018,2,28,Volcamiento,Sin causa especifica,Normal,miercoles,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
25,Antioquia,2017,1,13,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Montañoso,Media Ladera Derecha,999,0,0,No
26,Antioquia,2018,2,2,Volcamiento,Sin causa especifica,Lluvia,viernes,Curva Derecha,Montañoso,Media Ladera Derecha,999,0,1,No
27,Antioquia,2017,12,12,Choque,Sin causa especifica,Lluvia,martes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
29,Antioquia,2018,5,27,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Terraplen,0,0,0,No
31,Antioquia,2017,11,16,Volcamiento,Sin causa especifica,Normal,jueves,Recta,Plano,Terraplen,999,0,0,No
33,Antioquia,2018,7,27,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,1,0,1,Si
35,Antioquia,2018,7,30,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,1,0,1,Si
37,Antioquia,2017,12,23,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
39,Antioquia,2017,12,23,Choque,Sin causa especifica,Normal,sabado,Recta,Plano,Terraplen,999,0,0,No
40,Antioquia,2017,12,29,Choque,Sin causa especifica,Normal,viernes,Recta,Ondulado,Media Ladera Derecha,999,0,0,No
44,Antioquia,2017,12,21,Choque,Sin causa especifica,Normal,jueves,Curva Derecha,Ondulado,Media ladera Izquierda,999,0,0,No
46,Antioquia,2017,12,19,Choque,Sin causa especifica,Normal,martes,Recta,Plano,Terraplen,999,0,0,No
47,Antioquia,2019,2,26,Volcamiento,Sin causa especifica,Normal,martes,Curva Izquierda,Ondulado,Media ladera Izquierda,1,0,1,No
48,Antioquia,2018,2,16,Choque,Sin causa especifica,Normal,viernes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
50,Antioquia,2017,11,26,Choque,Sin causa especifica,Normal,domingo,Recta,Plano,Terraplen,999,0,1,No
51,Antioquia,2018,7,29,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,1,0,1,Si
53,Antioquia,2018,2,14,Choque,Sin causa especifica,Niebla,miercoles,Recta,Ondulado,Media Ladera Derecha,999,0,0,No
54,Antioquia,2017,12,18,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Ondulado,Media ladera Izquierda,999,0,0,No
57,Antioquia,2018,2,1,Choque,Sin causa especifica,Normal,jueves,Curva Derecha,Montañoso,Media Ladera Derecha,999,0,1,No
65,Antioquia,2017,4,16,Volcamiento,Sin causa especifica,Normal,domingo,Curva Izquierda,Ondulado,Media ladera Izquierda,999,0,0,No
66,Antioquia,2017,12,6,Choque,Sin causa especifica,Lluvia,miercoles,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,Si
68,Antioquia,2017,12,22,Volcamiento,Sin causa especifica,Normal,viernes,Curva Derecha,Ondulado,Media ladera Izquierda,999,0,0,No
77,Antioquia,2017,12,27,Choque,Sin causa especifica,Normal,miercoles,Recta,Plano,Terraplen,999,0,1,No
78,Antioquia,2017,12,5,Choque,Sin causa especifica,Normal,martes,Recta,Ondulado,Terraplen,999,0,0,No
80,Antioquia,2017,5,9,Caída ocupante,Sin causa especifica,Lluvia,martes,Recta,Plano,Media Ladera Derecha,999,1,0,No
82,Antioquia,2019,2,22,Volcamiento,Sin causa especifica,Lluvia,viernes,Curva Izquierda,Ondulado,Media ladera Izquierda,0,0,0,No
83,Antioquia,2017,5,23,Choque,Sin causa especifica,Normal,martes,Curva Izquierda,Ondulado,Media ladera Izquierda,999,0,0,No
86,Antioquia,2017,12,10,Choque,Sin causa especifica,Normal,domingo,Recta,Ondulado,Media ladera Izquierda,999,0,0,No
87,Antioquia,2017,6,15,Choque,Sin causa especifica,Normal,jueves,Curva Izquierda,Ondulado,Media ladera Izquierda,999,0,0,No
90,Antioquia,2018,2,7,Volcamiento,Sin causa especifica,Normal,miercoles,Curva Izquierda,Plano,Media ladera Izquierda,999,0,1,No
91,Antioquia,2017,5,29,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Plano,Media Ladera Derecha,999,0,1,No
94,Antioquia,2017,5,17,Choque,Sin causa especifica,Normal,miercoles,Recta,Ondulado,Media Ladera Derecha,999,0,2,No
96,Antioquia,2017,4,10,Choque,Sin causa especifica,Normal,lunes,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
97,Antioquia,2017,6,21,Choque,Sin causa especifica,Normal,miercoles,Curva Derecha,Ondulado,Media ladera Izquierda,999,0,0,No
98,Antioquia,2017,12,24,Choque,Sin causa especifica,Normal,domingo,Curva Derecha,Ondulado,Media Ladera Derecha,999,0,0,No
